,SpamOrNot,text,spam,ham,prediction,correct
0,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv",0.48333333333333334,0.016666666666666666,spam,1
1,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0.051587301587301584,0.44841269841269843,ham,1
2,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.5,0.5,ham,1
3,spam,WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0.4852941176470588,0.014705882352941176,spam,1
4,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0.0880952380952381,0.4119047619047619,ham,0
5,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0.5,0.5,ham,1
6,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0.35,0.15,spam,1
7,spam,"URGENT! You have won a 1 week FREE membership in our �100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0.4471830985915493,0.0528169014084507,spam,1
8,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.5,0.5,ham,1
9,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0.5,0.5,ham,1
10,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0.4166666666666667,0.08333333333333333,spam,1
11,ham,Oh k...i'm watching here:),0.5,0.5,ham,1
12,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0.5,0.5,ham,1
13,ham,Fine if that��s the way u feel. That��s the way its gota b,0.0047169811320754715,0.49528301886792453,ham,1
14,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+",0.4318181818181818,0.06818181818181818,spam,1
15,ham,Is that seriously how you spell his name?,0.5,0.5,ham,1
16,ham,I���m going to try for 2 months ha ha only joking,0.5,0.5,ham,1
17,ham,So �_ pay first lar... Then when is da stock comin...,0.5,0.5,ham,1
18,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0.0125,0.4875,ham,1
19,ham,Ffffffffff. Alright no way I can meet up with you sooner?,0.125,0.375,ham,1
20,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0.10551075268817205,0.39448924731182794,ham,1
21,ham,Lol your always so convincing.,0.0033333333333333335,0.49666666666666665,ham,1
22,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0.00946969696969697,0.49053030303030304,ham,1
23,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0.5,0.5,ham,1
24,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0.125,0.375,ham,1
25,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0.018656716417910446,0.48134328358208955,ham,1
26,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0.008522727272727272,0.4914772727272727,ham,1
27,ham,K tell me anything about you.,0.5,0.5,ham,1
28,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0.1448300283286119,0.3551699716713881,ham,1
29,spam,Thanks for your subscription to Ringtone UK your mobile will be charged �5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0.10064935064935066,0.3993506493506494,ham,0
30,ham,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0.005681818181818182,0.4943181818181818,ham,1
31,ham,"Oops, I'll let you know when my roommate's done",0.022727272727272728,0.4772727272727273,ham,1
32,ham,I see the letter B on my car,0.5,0.5,ham,1
33,ham,Anything lor... U decide...,0.0033333333333333335,0.49666666666666665,ham,1
34,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0.041666666666666664,0.4583333333333333,ham,1
35,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0.04259259259259259,0.45740740740740743,ham,1
36,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0.00946969696969697,0.49053030303030304,ham,1
37,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0.375,0.125,spam,1
38,ham,WHO ARE YOU SEEING?,0.20798319327731093,0.2920168067226891,ham,1
39,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0.04956896551724138,0.4504310344827586,ham,1
40,ham,No calls..messages..missed calls,0.5,0.5,ham,1
41,ham,Didn't you get hep b immunisation in nigeria.,0.00510204081632653,0.49489795918367346,ham,1
42,ham,"Fair enough, anything going on?",0.0625,0.4375,ham,1
43,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0.008522727272727272,0.4914772727272727,ham,1
44,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0.5,0.5,ham,1
45,ham,What you thinked about me. First time you saw me in class.,0.03006872852233677,0.4699312714776632,ham,1
46,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0.5,0.5,ham,1
47,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0.5,0.5,ham,1
48,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0.09615384615384616,0.40384615384615385,ham,1
